Country Name,Region
Albania,Central and Eastern Europe
Bosnia and Herzegovina,Central and Eastern Europe
Bulgaria,Central and Eastern Europe
Croatia,Central and Eastern Europe
Czech Republic,Central and Eastern Europe
Estonia,Central and Eastern Europe
Hungary,Central and Eastern Europe
Kosovo,Central and Eastern Europe
Latvia,Central and Eastern Europe
Lithuania,Central and Eastern Europe
Montenegro,Central and Eastern Europe
North Macedonia,Central and Eastern Europe
Poland,Central and Eastern Europe
Romania,Central and Eastern Europe
Serbia,Central and Eastern Europe
Slovakia,Central and Eastern Europe
Slovenia,Central and Eastern Europe
Liechtenstein,Western Europe
